lr-AdamW,step,train/loss,train/loss_a,train/loss_f,train/loss_l,train/loss_ce,train/unscaled/loss_a,train/unscaled/loss_f,train/unscaled/loss_l,train/unscaled/loss_ce,epoch,val/loss,val/loss_a,val/loss_f,val/loss_l,val/loss_ce,val/unscaled/loss_a,val/unscaled/loss_f,val/unscaled/loss_l,val/unscaled/loss_ce,val/best/loss,val/best/loss_a,val/best/loss_f,val/best/loss_l,val/best/loss_ce,val/best/unscaled/loss_a,val/best/unscaled/loss_f,val/best/unscaled/loss_l,val/best/unscaled/loss_ce
0.0003,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.24152889847755432,0.14719600975513458,0.05840267613530159,0.03593020886182785,0.0,1.6228359937667847,0.0643889531493187,15.845221519470215,0.0,0,,,,,,,,,,,,,,,,,,
0.0003,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.2288438379764557,0.1524730771780014,0.053869832307100296,0.022500932216644287,0.0,1.6810156106948853,0.05939149111509323,9.922910690307617,0.0,0,,,,,,,,,,,,,,,,,,
0.00029999999284453685,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.2490197718143463,0.13903051614761353,0.07256849855184555,0.03742075338959694,0.0,1.5328114032745361,0.08000677078962326,16.502552032470703,0.0,1,,,,,,,,,,,,,,,,,,
0.00029999999284453685,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.2144683301448822,0.14152774214744568,0.05338737368583679,0.019553212448954582,0.0,1.5603432655334473,0.058859582990407944,8.622966766357422,0.0,1,,,,,,,,,,,,,,,,,,
0.0002999999713781482,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,0.2135748714208603,0.1374736875295639,0.0546434111893177,0.021457774564623833,0.0,1.5156474113464355,0.0602443628013134,9.462878227233887,0.0,2,,,,,,,,,,,,,,,,,,
0.0002999999713781482,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,299,0.24615107476711273,0.14277620613574982,0.07267829030752182,0.030696580186486244,0.0,1.5741076469421387,0.08012782037258148,13.537191390991211,0.0,2,,,,,,,,,,,,,,,,,,
0.000299999935600836,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,0.21713392436504364,0.12532857060432434,0.053079500794410706,0.03872585669159889,0.0,1.3817473649978638,0.05852014943957329,17.078102111816406,0.0,3,,,,,,,,,,,,,,,,,,
0.000299999935600836,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,399,0.2378055453300476,0.1511462777853012,0.06226063147187233,0.02439863793551922,0.0,1.666387677192688,0.06864234805107117,10.759799003601074,0.0,3,,,,,,,,,,,,,,,,,,
0.000299999885512604,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449,0.21550911664962769,0.13289116322994232,0.06426315754652023,0.018354808911681175,0.0,1.4651249647140503,0.07085013389587402,8.094470977783203,0.0,4,,,,,,,,,,,,,,,,,,
0.000299999885512604,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,499,0.23562175035476685,0.14177925884723663,0.07186723500490189,0.021975243464112282,0.0,1.5631163120269775,0.07923363149166107,9.691082000732422,0.0,4,,,,,,,,,,,,,,,,,,
,529,,,,,,,,,,4,0.1934022754430771,0.12343189120292664,0.053696829825639725,0.01627356931567192,0.0,1.3608365058898926,0.05920075997710228,7.1766438484191895,0.0,0.19171440601348877,0.12196244299411774,0.05275055766105652,0.017001403495669365,0.0,1.3446359634399414,0.05815749615430832,7.497618675231934,0.0
0.00029999982111345697,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,549,0.17822615802288055,0.10150318592786789,0.0525931715965271,0.024129794910550117,0.0,1.1190725564956665,0.05798397213220596,10.641239166259766,0.0,5,,,,,,,,,,,,,,,,,,
0.00029999982111345697,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,599,0.1976691633462906,0.12690143287181854,0.05744069814682007,0.013327032327651978,0.0,1.3990882635116577,0.06332837045192719,5.87722110748291,0.0,5,,,,,,,,,,,,,,,,,,
0.00029999974240340135,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,649,0.20291343331336975,0.11672744899988174,0.05953666567802429,0.026649320498108864,0.0,1.2869200706481934,0.06563917547464371,11.752349853515625,0.0,6,,,,,,,,,,,,,,,,,,
0.00029999974240340135,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,699,0.1845613270998001,0.11918191611766815,0.04241111874580383,0.022968294098973274,0.0,1.3139805793762207,0.0467582605779171,10.12901782989502,0.0,6,,,,,,,,,,,,,,,,,,
0.0002999996493824449,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,749,0.18021877110004425,0.10790438205003738,0.05175841227173805,0.020555974915623665,0.0,1.189645767211914,0.05706365033984184,9.065184593200684,0.0,7,,,,,,,,,,,,,,,,,,
0.0002999996493824449,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,799,0.17926053702831268,0.10702574998140335,0.05041272193193436,0.021822065114974976,0.0,1.1799588203430176,0.055580027401447296,9.623530387878418,0.0,7,,,,,,,,,,,,,,,,,,
0.00029999954205059686,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,849,0.1949925720691681,0.11207325756549835,0.058232396841049194,0.024686919525265694,0.0,1.235607624053955,0.064201220870018,10.886931419372559,0.0,8,,,,,,,,,,,,,,,,,,
0.00029999954205059686,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,899,0.16831755638122559,0.10440097004175186,0.04923143610358238,0.014685148373246193,0.0,1.1510206460952759,0.054277658462524414,6.4761505126953125,0.0,8,,,,,,,,,,,,,,,,,,
0.00029999954205059686,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,949,0.1944567859172821,0.11087266355752945,0.05775032192468643,0.025833794847130775,0.0,1.2223711013793945,0.06366973370313644,11.39270305633545,0.0,8,,,,,,,,,,,,,,,,,,
0.0002999994204078677,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,999,0.16835425794124603,0.0980745255947113,0.059530407190322876,0.010749323293566704,0.0,1.0812716484069824,0.06563227623701096,4.740451335906982,0.0,9,,,,,,,,,,,,,,,,,,
0.0002999994204078677,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1049,0.17917269468307495,0.10095155239105225,0.05768488720059395,0.020536264404654503,0.0,1.1129908561706543,0.06359758973121643,9.056492805480957,0.0,9,,,,,,,,,,,,,,,,,,
,1059,,,,,,,,,,9,0.16761690378189087,0.1066703349351883,0.0457487516105175,0.015197830274701118,0.0,1.1760402917861938,0.05043799430131912,6.702242851257324,0.0,0.16738583147525787,0.10632077604532242,0.04643084481358528,0.014634230174124241,0.0,1.1721864938735962,0.05119000002741814,6.453695774078369,0.0
0.0002999992844542695,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1099,0.1728047877550125,0.11064449697732925,0.04359382390975952,0.018566468730568886,0.0,1.219855546951294,0.04806219041347504,8.187812805175781,0.0,10,,,,,,,,,,,,,,,,,,
0.0002999992844542695,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1149,0.12705568969249725,0.07138567417860031,0.036854710429906845,0.018815306946635246,0.0,0.7870270013809204,0.04063231870532036,8.297550201416016,0.0,10,,,,,,,,,,,,,,,,,,
0.0002999991341898156,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1199,0.17430327832698822,0.11192886531352997,0.05143892392516136,0.010935487225651741,0.0,1.234015703201294,0.05671141669154167,4.822549819946289,0.0,11,,,,,,,,,,,,,,,,,,
0.0002999991341898156,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1249,0.15147995948791504,0.0938643291592598,0.04394180700182915,0.013673833571374416,0.0,1.0348541736602783,0.048445843160152435,6.030160427093506,0.0,11,,,,,,,,,,,,,,,,,,
0.0002999989696145209,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1299,0.1436542272567749,0.08481267839670181,0.0402483306825161,0.018593227490782738,0.0,0.9350597262382507,0.04437378793954849,8.199613571166992,0.0,12,,,,,,,,,,,,,,,,,,
0.0002999989696145209,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1349,0.15776272118091583,0.08784209191799164,0.04392142593860626,0.025999201461672783,0.0,0.9684590101242065,0.04842337220907211,11.46564769744873,0.0,12,,,,,,,,,,,,,,,,,,
0.00029999879072840164,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1399,0.18749813735485077,0.11307013779878616,0.05952341482043266,0.014904587529599667,0.0,1.246598243713379,0.06562456488609314,6.572923183441162,0.0,13,,,,,,,,,,,,,,,,,,
0.00029999879072840164,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1449,0.15938764810562134,0.10171366482973099,0.042782507836818695,0.014891473576426506,0.0,1.121393084526062,0.04716771841049194,6.567139625549316,0.0,13,,,,,,,,,,,,,,,,,,
0.00029999859753147547,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1499,0.15382476150989532,0.07602919638156891,0.05510309711098671,0.022692471742630005,0.0,0.8382218480110168,0.06075116619467735,10.007379531860352,0.0,14,,,,,,,,,,,,,,,,,,
