lr-AdamW,step,train/loss,train/loss_a,train/loss_f,train/loss_l,train/loss_ce,train/unscaled/loss_a,train/unscaled/loss_f,train/unscaled/loss_l,train/unscaled/loss_ce,epoch,val/loss,val/loss_a,val/loss_f,val/loss_l,val/loss_ce,val/unscaled/loss_a,val/unscaled/loss_f,val/unscaled/loss_l,val/unscaled/loss_ce,val/best/loss,val/best/loss_a,val/best/loss_f,val/best/loss_l,val/best/loss_ce,val/best/unscaled/loss_a,val/best/unscaled/loss_f,val/best/unscaled/loss_l,val/best/unscaled/loss_ce
0.0003,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.09799210727214813,0.0,0.0675174817442894,0.030474625527858734,0.0,0.0,0.06768627464771271,12.220324516296387,0.0,0,,,,,,,,,,,,,,,,,,
0.0003,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.05829354003071785,0.0,0.04841355234384537,0.009879988618195057,0.0,0.0,0.0485345833003521,3.9618754386901855,0.0,0,,,,,,,,,,,,,,,,,,
0.00029999928445426945,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.08512671291828156,0.0,0.06481745094060898,0.02030925825238228,0.0,0.0,0.06497949361801147,8.144012451171875,0.0,1,,,,,,,,,,,,,,,,,,
0.00029999928445426945,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.08772686868906021,0.0,0.07221072912216187,0.015516137704253197,0.0,0.0,0.07239125669002533,6.221971035003662,0.0,1,,,,,,,,,,,,,,,,,,
0.00029999713782413983,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,0.08274596929550171,0.0,0.056528475135564804,0.026217492297291756,0.0,0.0,0.05666979402303696,10.513214111328125,0.0,2,,,,,,,,,,,,,,,,,,
0.00029999713782413983,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,299,0.06329385191202164,0.0,0.05073130875825882,0.012562543153762817,0.0,0.0,0.050858136266469955,5.037579536437988,0.0,2,,,,,,,,,,,,,,,,,,
0.00029999356013079773,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,0.0865282416343689,0.0,0.07047323882579803,0.016054999083280563,0.0,0.0,0.07064942270517349,6.438054084777832,0.0,3,,,,,,,,,,,,,,,,,,
0.00029999356013079773,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,399,0.06251717358827591,0.0,0.04958053678274155,0.012936636805534363,0.0,0.0,0.04970448836684227,5.187591075897217,0.0,3,,,,,,,,,,,,,,,,,,
0.0002999885514095534,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449,0.09079547226428986,0.0,0.05936109274625778,0.031434379518032074,0.0,0.0,0.05950949341058731,12.605186462402344,0.0,4,,,,,,,,,,,,,,,,,,
0.0002999885514095534,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,499,0.08105981349945068,0.0,0.06671492010354996,0.01434489618986845,0.0,0.0,0.0668817088007927,5.752303123474121,0.0,4,,,,,,,,,,,,,,,,,,
,529,,,,,,,,,,4,0.06700858473777771,0.0,0.05666769668459892,0.010340890847146511,0.0,0.0,0.05680936574935913,4.146697044372559,0.0,0.06700858473777771,0.0,0.05666769668459892,0.010340890847146511,0.0,0.0,0.05680936574935913,4.146697044372559,0.0
0.00029998211170984083,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,549,0.0767621174454689,0.0,0.06708984822034836,0.009672270156443119,0.0,0.0,0.06725756824016571,3.878580093383789,0.0,5,,,,,,,,,,,,,,,,,,
0.00029998211170984083,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,599,0.07195700705051422,0.0,0.06072213128209114,0.01123487763106823,0.0,0.0,0.060873936861753464,4.505185604095459,0.0,5,,,,,,,,,,,,,,,,,,
0.00029997424109521736,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,649,0.050961509346961975,0.0,0.039626769721508026,0.011334739625453949,0.0,0.0,0.039725836366415024,4.545230388641357,0.0,6,,,,,,,,,,,,,,,,,,
0.00029997424109521736,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,699,0.05592036992311478,0.0,0.04350395128130913,0.0124164167791605,0.0,0.0,0.04361271113157272,4.978982925415039,0.0,6,,,,,,,,,,,,,,,,,,
0.00029996493964336274,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,749,0.04737967252731323,0.0,0.03930620476603508,0.008073468692600727,0.0,0.0,0.03940447047352791,3.2374608516693115,0.0,7,,,,,,,,,,,,,,,,,,
0.00029996493964336274,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,799,0.07526962459087372,0.0,0.05542360246181488,0.019846025854349136,0.0,0.0,0.05556216090917587,7.958255767822266,0.0,7,,,,,,,,,,,,,,,,,,
0.0002999542074460785,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,849,0.06387264281511307,0.0,0.05208589881658554,0.011786743998527527,0.0,0.0,0.05221611261367798,4.726484298706055,0.0,8,,,,,,,,,,,,,,,,,,
0.0002999542074460785,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,899,0.07290109246969223,0.0,0.06421821564435959,0.00868287868797779,0.0,0.0,0.0643787607550621,3.4818344116210938,0.0,8,,,,,,,,,,,,,,,,,,
0.0002999542074460785,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,949,0.07157929241657257,0.0,0.06274613738059998,0.008833152242004871,0.0,0.0,0.06290300190448761,3.5420939922332764,0.0,8,,,,,,,,,,,,,,,,,,
0.00029994204460928717,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,999,0.057638682425022125,0.0,0.043505407869815826,0.01413327269256115,0.0,0.0,0.04361417144536972,5.667442321777344,0.0,9,,,,,,,,,,,,,,,,,,
0.00029994204460928717,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1049,0.07397189736366272,0.0,0.06569303572177887,0.008278862573206425,0.0,0.0,0.06585726886987686,3.319823741912842,0.0,9,,,,,,,,,,,,,,,,,,
,1059,,,,,,,,,,9,0.062066469341516495,0.0,0.052196204662323,0.009870264679193497,0.0,0.0,0.05232669413089752,3.9579761028289795,0.0,0.062066469341516495,0.0,0.052196204662323,0.009870264679193497,0.0,0.0,0.05232669413089752,3.9579761028289795,0.0
0.00029992845125303107,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1099,0.07836233824491501,0.0,0.05183322727680206,0.026529109105467796,0.0,0.0,0.05196280777454376,10.638172149658203,0.0,10,,,,,,,,,,,,,,,,,,
0.00029992845125303107,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1149,0.06176652014255524,0.0,0.049483656883239746,0.01228286325931549,0.0,0.0,0.04960736632347107,4.9254279136657715,0.0,10,,,,,,,,,,,,,,,,,,
0.00029991342751147106,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1199,0.08689839392900467,0.0,0.07024189829826355,0.01665649376809597,0.0,0.0,0.07041750103235245,6.679254055023193,0.0,11,,,,,,,,,,,,,,,,,,
0.00029991342751147106,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1249,0.06236977130174637,0.0,0.047386109828948975,0.014983662404119968,0.0,0.0,0.047504574060440063,6.008448600769043,0.0,11,,,,,,,,,,,,,,,,,,
0.00029989697353288545,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1299,0.08680763840675354,0.0,0.07711430639028549,0.009693332016468048,0.0,0.0,0.0773070901632309,3.887025833129883,0.0,12,,,,,,,,,,,,,,,,,,
0.00029989697353288545,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1349,0.07525354623794556,0.0,0.06605510413646698,0.009198443964123726,0.0,0.0,0.0662202388048172,3.6885757446289062,0.0,12,,,,,,,,,,,,,,,,,,
0.0002998790894796683,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1399,0.06993287801742554,0.0,0.06376033276319504,0.006172542925924063,0.0,0.0,0.06391973048448563,2.475189685821533,0.0,13,,,,,,,,,,,,,,,,,,
0.0002998790894796683,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1449,0.09888381510972977,0.0,0.08680186420679092,0.012081949040293694,0.0,0.0,0.08701886981725693,4.8448615074157715,0.0,13,,,,,,,,,,,,,,,,,,
0.00029985977552832816,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1499,0.05838507413864136,0.0,0.05087003484368324,0.007515039294958115,0.0,0.0,0.050997208803892136,3.013530731201172,0.0,14,,,,,,,,,,,,,,,,,,
0.00029985977552832816,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1549,0.04196103289723396,0.0,0.03596121445298195,0.005999817978590727,0.0,0.0,0.03605111688375473,2.4059269428253174,0.0,14,,,,,,,,,,,,,,,,,,
,1589,,,,,,,,,,14,0.05604086443781853,0.0,0.047899290919303894,0.00814156886190176,0.0,0.0,0.048019036650657654,3.2647690773010254,0.0,0.05604086071252823,0.0,0.047899290919303894,0.00814156886190176,0.0,0.0,0.048019036650657654,3.2647690773010254,0.0
0.0002998390318694857,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1599,0.04619958996772766,0.0,0.04161664843559265,0.0045829410664737225,0.0,0.0,0.041720688343048096,1.8377593755722046,0.0,15,,,,,,,,,,,,,,,,,,
0.0002998390318694857,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1649,0.050258565694093704,0.0,0.04295744001865387,0.007301125209778547,0.0,0.0,0.04306483268737793,2.927751064300537,0.0,15,,,,,,,,,,,,,,,,,,
0.0002998168587078726,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1699,0.07166905701160431,0.0,0.05533633008599281,0.016332730650901794,0.0,0.0,0.055474668741226196,6.54942512512207,0.0,16,,,,,,,,,,,,,,,,,,
0.0002998168587078726,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1749,0.06931094080209732,0.0,0.06081205978989601,0.008498878218233585,0.0,0.0,0.06096408888697624,3.408050060272217,0.0,16,,,,,,,,,,,,,,,,,,
0.0002998168587078726,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
